symbol,entry_date,exit_date,type,entry_price,exit_price,pnl,pnl_pct,result
NHDL,2025-10-29,2025-11-13,BUY,680.0,660.0,-20.0,-2.94,LOSS
NHDL,2025-11-16,2025-11-17,SELL,675.0,675.0,0.0,0.0,LOSS
NHDL,2025-11-19,2025-12-08,BUY,684.1,687.0,2.9,0.42,WIN
NHDL,2025-12-09,2025-12-16,SELL,691.0,720.0,-29.0,-4.2,LOSS
NHDL,2025-12-22,2025-12-23,BUY,674.0,670.0,-4.0,-0.59,LOSS
NHPC,2025-03-09,2025-03-10,BUY,221.0,219.9,-1.1,-0.5,LOSS
NHPC,2025-03-12,2025-03-20,SELL,216.0,211.6,4.4,2.04,WIN
NHPC,2025-04-10,2025-04-17,BUY,206.48,222.9,16.42,7.95,WIN
NHPC,2025-05-13,2025-05-14,BUY,223.93,220.76,-3.17,-1.42,LOSS
NHPC,2025-05-15,2025-05-28,SELL,220.01,217.72,2.29,1.04,WIN
NHPC,2025-06-09,2025-06-11,SELL,219.49,220.25,-0.76,-0.35,LOSS
NHPC,2025-06-12,2025-06-22,BUY,220.31,214.67,-5.64,-2.56,LOSS
NHPC,2025-06-24,2025-06-30,SELL,213.77,211.31,2.46,1.15,WIN
NHPC,2025-07-13,2025-07-20,BUY,213.52,221.48,7.96,3.73,WIN
NHPC,2025-08-03,2025-08-13,SELL,215.71,210.56,5.15,2.39,WIN
NHPC,2025-08-27,2025-09-07,SELL,211.37,202.0,9.37,4.43,WIN
NHPC,2025-09-23,2025-09-25,SELL,205.5,200.0,5.5,2.68,WIN
NHPC,2025-09-28,2025-10-08,BUY,200.0,194.0,-6.0,-3.0,LOSS
NHPC,2025-10-09,2025-10-12,BUY,198.0,192.0,-6.0,-3.03,LOSS
NHPC,2025-10-19,2025-10-29,SELL,186.9,192.0,-5.1,-2.73,LOSS
NHPC,2025-10-30,2025-11-16,BUY,194.0,188.0,-6.0,-3.09,LOSS
NHPC,2025-11-17,2025-11-18,SELL,189.0,190.2,-1.2,-0.63,LOSS
NHPC,2025-11-19,2025-12-08,BUY,187.9,189.0,1.1,0.59,WIN
NHPC,2025-12-10,2025-12-14,SELL,187.5,186.3,1.2,0.64,WIN
NHPC,2025-12-24,2025-12-28,SELL,190.8,193.9,-3.1,-1.62,LOSS
NYADI,2025-03-18,2025-04-02,BUY,588.0,644.89,56.89,9.68,WIN
NYADI,2025-04-10,2025-04-21,BUY,598.58,558.27,-40.31,-6.73,LOSS
NYADI,2025-06-02,2025-07-27,BUY,447.87,458.71,10.84,2.42,WIN
NYADI,2025-07-28,2025-08-06,SELL,460.14,430.4,29.74,6.46,WIN
NYADI,2025-08-24,2025-09-01,BUY,426.82,416.37,-10.45,-2.45,LOSS
NYADI,2025-09-23,2025-10-13,BUY,419.0,386.0,-33.0,-7.88,LOSS
NYADI,2025-10-29,2025-11-12,BUY,421.0,387.9,-33.1,-7.86,LOSS
NYADI,2025-11-13,2025-11-17,SELL,389.9,393.0,-3.1,-0.8,LOSS
NYADI,2025-11-18,2025-12-07,BUY,404.9,394.0,-10.9,-2.69,LOSS
NYADI,2025-12-08,2025-12-14,SELL,391.0,380.2,10.8,2.76,WIN
PHCL,2025-03-02,2025-04-15,SELL,643.1,608.74,34.36,5.34,WIN
PHCL,2025-04-23,2025-04-27,BUY,581.3,566.92,-14.38,-2.47,LOSS
PHCL,2025-05-07,2025-05-25,BUY,603.99,566.55,-37.44,-6.2,LOSS
PHCL,2025-05-26,2025-06-02,SELL,562.17,571.64,-9.47,-1.68,LOSS
PHCL,2025-06-26,2025-06-29,SELL,521.07,513.17,7.9,1.52,WIN
PHCL,2025-06-30,2025-08-04,BUY,493.94,507.07,13.13,2.66,WIN
PHCL,2025-08-05,2025-08-13,SELL,503.0,488.05,14.95,2.97,WIN
PHCL,2025-10-09,2025-10-14,BUY,390.0,360.0,-30.0,-7.69,LOSS
PHCL,2025-10-30,2025-11-17,BUY,377.4,338.0,-39.4,-10.44,LOSS
PHCL,2025-11-18,2025-11-20,SELL,335.0,315.0,20.0,5.97,WIN
PMHPL,2025-03-02,2025-03-03,SELL,333.0,327.0,6.0,1.8,WIN
PMHPL,2025-03-04,2025-03-09,BUY,327.0,313.0,-14.0,-4.28,LOSS
PMHPL,2025-04-02,2025-04-17,BUY,296.09,309.98,13.89,4.69,WIN
PMHPL,2025-05-06,2025-05-13,BUY,309.79,307.1,-2.69,-0.87,LOSS
PMHPL,2025-06-08,2025-06-15,BUY,293.01,315.65,22.64,7.73,WIN
PMHPL,2025-07-07,2025-08-17,SELL,388.38,434.89,-46.51,-11.98,LOSS
PMHPL,2025-08-20,2025-08-24,BUY,408.68,392.77,-15.91,-3.89,LOSS
PMHPL,2025-08-25,2025-09-04,SELL,400.56,374.11,26.45,6.6,WIN
PMHPL,2025-10-19,2025-12-07,BUY,317.7,327.9,10.2,3.21,WIN
PMHPL,2025-12-08,2025-12-17,SELL,325.0,320.0,5.0,1.54,WIN
PPCL,2025-03-02,2025-03-16,BUY,330.9,319.0,-11.9,-3.6,LOSS
PPCL,2025-03-17,2025-03-18,SELL,318.0,331.3,-13.3,-4.18,LOSS
PPCL,2025-03-20,2025-03-23,BUY,323.52,313.36,-10.16,-3.14,LOSS
PPCL,2025-04-02,2025-04-03,SELL,317.45,318.01,-0.56,-0.18,LOSS
PPCL,2025-04-07,2025-04-17,BUY,316.47,339.18,22.71,7.18,WIN
PPCL,2025-05-06,2025-05-07,SELL,339.75,347.48,-7.73,-2.28,LOSS
PPCL,2025-05-13,2025-05-14,BUY,345.93,337.6,-8.33,-2.41,LOSS
PPCL,2025-05-15,2025-06-02,SELL,333.17,321.1,12.07,3.62,WIN
PPCL,2025-06-09,2025-06-11,SELL,330.32,331.69,-1.37,-0.41,LOSS
PPCL,2025-06-12,2025-06-24,BUY,335.33,373.17,37.84,11.28,WIN
PPCL,2025-07-08,2025-08-06,SELL,370.95,350.41,20.54,5.54,WIN
PPCL,2025-08-27,2025-08-31,BUY,345.09,327.35,-17.74,-5.14,LOSS
PPCL,2025-09-21,2025-09-23,SELL,327.93,333.9,-5.97,-1.82,LOSS
PPCL,2025-09-24,2025-10-08,BUY,326.0,301.9,-24.1,-7.39,LOSS
PPCL,2025-10-13,2025-10-29,SELL,310.0,303.0,7.0,2.26,WIN
PPCL,2025-10-30,2025-11-27,BUY,309.5,343.0,33.5,10.82,WIN
PPCL,2025-12-03,2025-12-17,SELL,326.1,339.0,-12.9,-3.96,LOSS
PPL,2025-03-02,2025-03-04,SELL,590.0,566.1,23.9,4.05,WIN
PPL,2025-03-27,2025-04-28,BUY,532.48,491.15,-41.33,-7.76,LOSS
PPL,2025-05-14,2025-06-04,BUY,514.4,475.94,-38.46,-7.48,LOSS
PPL,2025-06-10,2025-06-12,BUY,496.94,470.16,-26.78,-5.39,LOSS
PPL,2025-06-15,2025-06-16,BUY,491.7,397.2,-94.5,-19.22,LOSS
PPL,2025-07-01,2025-07-27,BUY,406.23,418.35,12.12,2.98,WIN
PPL,2025-07-31,2025-08-06,BUY,390.6,382.0,-8.6,-2.2,LOSS
PPL,2025-09-25,2025-11-04,BUY,310.1,348.2,38.1,12.29,WIN
PPL,2025-11-19,2025-12-17,SELL,332.0,323.9,8.1,2.44,WIN
RADHI,2025-05-18,2025-05-26,SELL,690.03,801.77,-111.74,-16.19,LOSS
RADHI,2025-05-27,2025-07-17,SELL,793.57,832.96,-39.39,-4.96,LOSS
RADHI,2025-07-21,2025-07-24,BUY,809.27,870.54,61.27,7.57,WIN
RADHI,2025-08-03,2025-08-17,SELL,811.12,772.43,38.69,4.77,WIN
RADHI,2025-08-31,2025-09-04,SELL,756.05,762.11,-6.06,-0.8,LOSS
RADHI,2025-09-07,2025-09-18,BUY,760.75,709.0,-51.75,-6.8,LOSS
RADHI,2025-09-23,2025-09-24,SELL,761.0,755.0,6.0,0.79,WIN
RADHI,2025-09-25,2025-10-07,BUY,746.0,709.0,-37.0,-4.96,LOSS
RADHI,2025-10-28,2025-11-06,BUY,723.0,792.0,69.0,9.54,WIN
RADHI,2025-11-17,2025-11-23,SELL,750.1,769.0,-18.9,-2.52,LOSS
RADHI,2025-11-24,2025-11-27,BUY,769.0,744.9,-24.1,-3.13,LOSS
RADHI,2025-12-02,2025-12-14,SELL,738.6,720.0,18.6,2.52,WIN
RAWA,2025-03-05,2025-03-16,SELL,891.9,872.0,19.9,2.23,WIN
RAWA,2025-03-19,2025-04-10,SELL,902.1,830.22,71.88,7.97,WIN
